Orden;Sitios;codigo;Fecha;Año;Campaña;Tem_agua;Tem_aire;pH;Olores;Color;Espumas;Mat_susp;colif_totales_ufc_100ml;escher_coli_ufc_100ml;enteroc_ufc_100ml;Nitrato_mg_l;NH4_mg_l;P_de_ortof_mg_l;P_total_l_mg_l;DQO_mg_l;DBO_mg_l;Turbiedad_NTU;Hidr_Deriv_del_Petroleo_ug_l;Cr_total_mg_l;Cd_total_mg_l;Microcistina_ug_l;Clorofila_a_ug_l;ICA;Calidad_de_agua
24;Arroyo Sarandí;AV052;6/11/2019;2019;primavera;22.9;4.57;7.72;Ausencia;Ausencia;Ausencia;Ausencia;7800;2000;1050;10.9;1.2;0.48;0.5;26;5;60;49;<0.006;<0.002;<0.5;<10;45;Muy deteriorada
25;Costa de Villa Domínico     ;AV055;6/11/2019;2019;primavera;26.7;4.91;7.85;Ausencia;Ausencia;Ausencia;Ausencia;14000;7900;1800;14.8;1.3;0.25;0.36;46;26;44;49;<0.006;<0.002;<0.5;<10;40;Extremadamente deteriorada
26;Arroyo Santo Domingo;AV053;6/11/2019;2019;primavera;24.3;6.97;7.97;Ausencia;Ausencia;Ausencia;Ausencia;14000;4000;1050;11.1;2.4;0.54;0.54;43;13;61;49;<0.006;<0.002;<0.5;<10;43;Extremadamente deteriorada
27;Espora 400 m;QU061;30/10/2019;2019;primavera;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;6200;600;150;9;0.65;0.46;0.6;52;20;84;49;<0.006;<0.002;<0.5;<10;38;Extremadamente deteriorada
28;Náutico 400 m;QU062;30/10/2019;2019;primavera;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;8000;5100;950;12.6;0.41;0.42;0.42;42;9;67;49;<0.006;<0.002;<0.5;<10;42;Extremadamente deteriorada
29;Pejerrey Club 400 m;QU063;30/10/2019;2019;primavera;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;29000;24600;5200;8.4;1.17;0.33;0.33;13;6;54;71;<0.006;<0.002;<0.5;<10;32;Extremadamente deteriorada
30;Calle 14 y Costa - Salida cloaca;BZ078;30/10/2019;2019;primavera;22.5;6.2;7.71;Ausencia;Ausencia;Ausencia;Ausencia;16200;8400;3700;12.8;0.88;0.56;0.83;13;6;101;49;<0.006;<0.002;<0.5;21.3;42;Extremadamente deteriorada
31;Puerto Trinidad calle 47;BZ077;30/10/2019;2019;primavera;20.5;7.86;7.43;Ausencia;Ausencia;Ausencia;Ausencia;49500;6100;1100;11.3;0.14;0.96;1.1;24;8;101;49;<0.006;<0.002;<0.5;12.8;40;Extremadamente deteriorada
32;Costanera Hudson Calle 63;BZ080;30/10/2019;2019;primavera;19.2;8.56;7.37;Ausencia;Ausencia;Ausencia;Ausencia;4000;1400;150;10;0.049;0.66;0.66;11;6;91;49;<0.006;<0.002;<0.5;10.1;43;Extremadamente deteriorada
33;Camping Eva Perón;EN081;30/10/2019;2019;primavera;19.2;9.04;8.72;Ausencia;Ausencia;Ausencia;Ausencia;6000;500;550;27;0.36;0.56;1.05;17;5;78;49;<0.006;<0.002;<0.5;<10;48;Muy deteriorada
34;Toma de agua Club de Pesca;EN082;30/10/2019;2019;primavera;19.6;5.27;8.22;Ausencia;Ausencia;Ausencia;Ausencia;600;99;<10;8.9;0.35;0.42;0.42;33;4;76;49;<0.006;<0.002;<0.5;<10;71;Deteriorada
35;Arroyo El Gato;EN083;30/10/2019;2019;primavera;19.6;5.27;8.22;Ausencia;Ausencia;Ausencia;Ausencia;19400;14900;3850;5.7;4.3;0.38;0.38;17;8;24;49;<0.006;<0.002;<0.5;<10;41;Extremadamente deteriorada
36;Ensenada Prefectura Isla Santiago;EN084;30/10/2019;2019;primavera;19.9;6.21;8.05;Ausencia;Ausencia;Ausencia;Ausencia;2200;2000;550;8.6;0.35;0.22;0.25;15;8;55;49;<0.006;<0.002;<0.5;<10;55;Muy deteriorada
37;Balneario Palo Blanco;BS092;30/10/2019;2019;primavera;12.4;6.28;7.72;Ausencia;Ausencia;Ausencia;Ausencia;22200;10500;4200;5.5;4.05;0.6;0.6;37;5;6.5;49;<0.006;<0.002;<0.5;12.2;39;Extremadamente deteriorada
38;Diagonal 66 (descarga cloaca);BS095;30/10/2019;2019;primavera;12;5.03;7.77;Presencia;Presencia;Presencia;Presencia;300001;300001;80600;6.5;5.5;0.68;0.68;37;8;8.9;49;<0.006;<0.002;<0.5;<10;32;Extremadamente deteriorada
39;Playa La Bagliardi;BS091;30/10/2019;2019;primavera;12.2;4.66;7.7;Ausencia;Ausencia;Ausencia;Ausencia;165400;124000;14500;6.9;6.18;0.66;0.66;20;7;7.6;49;<0.006;<0.002;<0.5;12.8;36;Extremadamente deteriorada
40;Balneario Municipal;BS094;30/10/2019;2019;primavera;13;5.44;7.71;Ausencia;Ausencia;Ausencia;Ausencia;21400;19400;4900;6.6;3.77;0.57;0.5;33;8;8.1;49;<0.006;<0.002;<0.5;11.2;39;Extremadamente deteriorada
41;Playa La Balandra;BS093;30/10/2019;2019;primavera;12.3;6;7.63;Ausencia;Ausencia;Ausencia;Ausencia;29200;18500;4100;8.4;3.5;0.81;0.81;17;5;6.2;49;<0.006;<0.002;<0.5;<10;41;Extremadamente deteriorada
