"orden";"sitios";"codigo";"fecha";"año";"campaña";"tem_agua";"tem_aire";"od";"ph";"olores";"color";"espumas";"mat_susp";"colif_fecales_ufc_100ml";"escher_coli_ufc_100ml";"enteroc_ufc_100ml";"nitrato_mg_l";"nh4_mg_l";"p_total_l_mg_l";"fosf_ortofos_mg_l";"dbo_mg_l";"dqo_mg_l";"turbiedad_ntu";"hidr_deriv_petr_ug_l";"cr_total_mg_l";"cd_total_mg_l";"clorofila_a_ug_l";"microcistina_ug_l";"ica";"calidad_de_agua"
"26";"Arroyo Santo Domingo";"AV053";"14/11/2023";"2023";"primavera";"22";"22";"6.3";"7.42";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"1100";"1100";"300";"2.8";"1.2";"0.20";"<0.20";"3.1";"<30";"25";"<0.10";"<0.005";"<0.001";"<10.00";"<0.15";"40";"Extremadamente deteriorada"
"27";"Espora 400 m";"QU061";"14/11/2023";"2023";"primavera";"22";"22";"5.55";"7.41";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"2400";"1800";"330";"2.8";"1.9";"0.27";"<0.20";"3.8";"80";"13";"<0.10";"<0.005";"<0.001";"<10.00";"<0.15";"40";"Extremadamente deteriorada"
"28";"Náutico 400 m";"QU062";"14/11/2023";"2023";"primavera";"16";"22";"sin equipo";"6.91";"Ausencia";"Ausencia";"Ausencia";"Presencia";"envase sin muestra";"envase sin muestra";"envase sin muestra";"3.7";"0.92";"0.23";"<0.20";"3.9";"<30";"18";"<0.10";"<0.005";"<0.001";"<10.00";"0.17";"40";"Extremadamente deteriorada"
"29";"Pejerrey Club 400 m";"QU063";"14/11/2023";"2023";"primavera";"16";"22";"sin equipo";"6.97";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"800";"540";"140";"3.8";"<0.78";"0.24";"<0.20";"7.3";"<30";"11";"<0.10";"<0.005";"<0.001";"10.7";"<0.15";"39";"Extremadamente deteriorada"
"30";"Calle 14 y Costa - Salida cloaca";"BZ078";"14/11/2023";"2023";"primavera";"16";"22";"sin equipo";"6.63";"Ausencia";"Ausencia";"Ausencia";"Presencia";"600";"500";"50";"9.0";"1.4";"0.20";"<0.20";"7.2";"32";"9.3";"<0.10";"<0.005";"<0.001";"<10.00";"0.58";"36";"Extremadamente deteriorada"
"31";"Puerto Trinidad calle 47";"BZ077";"14/11/2023";"2023";"primavera";"sin equipo";"19";"sin equipo";"sin equipo";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"4100";"4100";"1200";"5.3";"1.3";"0.74";"sin muestra";"11";"115";"95";"<0.10";"0";"<0.001";"48.1";"<0.15";"29";"Extremadamente deteriorada"
"32";"Costanera Hudson Calle 63";"BZ080";"14/11/2023";"2023";"primavera";"sin equipo";"21";"sin equipo";"sin equipo";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"18000";"14000";"1430";"3.4";"0.61";"0.76";"sin muestra";"12";"130";"55";"<0.10";"0";"<0.001";"42.7";"<0.15";"29";"Extremadamente deteriorada"
"33";"Boca Cerrada (Res.Nat. Punta Lara)";"EN-adic";"14/11/2023";"2023";"primavera";"sin equipo";"21";"sin equipo";"sin equipo";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"10000";"400";"410";"3.3";"0.24";"0.50";"<0.20";"4.1";"61";"32";"<0.10";"0";"<0.001";"19.4";"<0.15";"37";"Extremadamente deteriorada"
"34";"Camping Eva Perón";"EN081";"14/11/2023";"2023";"primavera";"sin equipo";"sin equipo";"sin equipo";"sin equipo";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"600";"360";"340";"4.5";"0.30";"0.72";"<0.20";"2.6";"59";"40";"<0.10";"<0.005";"<0.001";"<10.00";"<0.15";"39";"Extremadamente deteriorada"
"35";"Toma de agua Club de Pesca";"EN082";"14/11/2023";"2023";"primavera";"22";"sin equipo";"8.28";"8.11";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"900";"570";"110";"6.4";"0.44";"0.17";"<0.20";"<2.0";"<30";"32";"<0.10";"<0.005";"<0.001";"84.8";"0.86";"38";"Extremadamente deteriorada"
"36";"Arroyo El Gato";"EN083";"14/11/2023";"2023";"primavera";"22";"sin equipo";"5.48";"7.55";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"100";"100";"35";"6.1";"0.52";"0.15";"<0.20";"<2.0";"<30";"17";"<0.10";"<0.005";"<0.001";"<10.00";"<0.15";"45";"Muy deteriorada"
"37";"Ensenada Prefectura Isla Santiago";"EN084";"14/11/2023";"2023";"primavera";"21";"sin equipo";"0.2";"7.58";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"41000";"38000";"5600";"6.5";"0.96";"0.72";"<0.20";"5.3";"<30";"17";"<0.10";"<0.005";"<0.001";"<10.00";"2.42";"35";"Extremadamente deteriorada"
"38";"Balneario Palo Blanco";"BS092";"14/11/2023";"2023";"primavera";"21";"sin equipo";"4.76";"7.65";"Presencia";"Ausencia";"Ausencia";"Ausencia";"200";"200";"160";"<2.0";"8.4";"0.20";"<0.20";"8.4";"52";"17";"<0.10";"<0.005";"<0.001";"<10.00";"0.69";"37";"Extremadamente deteriorada"
"39";"Diagonal 66 (descarga cloaca)";"BS095";"14/11/2023";"2023";"primavera";"23";"21";"7.51";"8.02";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"52000";"15600";"1960";"2.9";"2.1";"0.44";"<0.20";"4.1";"65";"70";"<0.10";"<0.005";"<0.001";"<10.00";"1.18";"37";"Extremadamente deteriorada"
"40";"Playa La Bagliardi";"BS091";"14/11/2023";"2023";"primavera";"24";"20";"4.53";"7.84";"Presencia";"Ausencia";"Presencia";"Presencia";"81000";"75000";"18400";"<2.0";"11";"0.96";"0.51";"23";"86";"50";"<0.10";"<0.005";"<0.001";"<10.00";"<0.15";"25";"Extremadamente deteriorada"
"41";"Balneario Municipal";"BS094";"14/11/2023";"2023";"primavera";"20";"20";"9.78";"8.49";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"1000";"800";"850";"<2.0";"0.33";"0.38";"<0.20";"2.2";"77";"34";"<0.10";"<0.005";"<0.001";"<10.00";"<0.15";"41";"Extremadamente deteriorada"
"42";"Playa La Balandra";"BS093";"14/11/2023";"2023";"primavera";"20";"14";"8.22";"8.30";"Ausencia";"Ausencia";"Ausencia";"Presencia";"800";"800";"360";"4.1";"0.39";"0.21";"<0.20";"<2.0";"48";"110";"<0.10";"0";"<0.001";"37.4";"<0.15";"35";"Extremadamente deteriorada"
