Orden;Sitios;Municipio;codigo;Fecha;Año;Campaña;Tem_agua;OD;pH;Olores;Color;Espumas;Mat_susp;colif_totales_ufc_100ml;escher_coli_ufc_100ml;enteroc_ufc_100ml;Nitrato_mg_l;NH4_mg_l;P_de_ortof_mg_l;P_total_l_mg_l;DQO_mg_l;DBO_mg_l;Turbiedad_NTU;Hidr_Deriv_del_Petroleo_ug_l;Cr_total_mg_l;Cd_total_mg_l;Microcistina_ug_l;Clorofila_a_ug_l;ICA;Calidad_de_agua
32;Costanera Hudson Calle 63;Berazategui;BZ080;21/3/2018;2018;verano;20;9.15;8.49;ausencia;ausencia;no se midió;ausencia;2130;780;180;10.11;0.05;<0.5;0.5;<10;5;150;50;0.01;0.005;<50;6329;42;Extremadamente deteriorada
33;Camping Eva Perón;Ensenada;EN081;21/3/2018;2018;verano;19.5;9.5;8.43;ausencia;ausencia;ausencia;no se midió;1600;650;10;9.85;0.07;<0.5;0.5;<10;5;165;50;0.01;0.005;<50;10226;42;Muy deteriorada
34;Toma de agua Club de Pesca;Ensenada;EN082;21/3/2018;2018;verano;20.02;6.26;7.64;ausencia;ausencia;ausencia;no se midió;2430;1860;230;10.39;0.05;<0.5;0.5;<10;5;207;50;0.01;0.005;<50;50;52;Extremadamente deteriorada
35;Arroyo El Gato;Ensenada;EN083;21/3/2018;2018;verano;20;4.42;7.45;ausencia;ausencia;ausencia;no se midió;2510;1910;140;8.58;0.05;<0.5;0.5;<10;5;208.5;50;0.01;0.005;<50;9160;39;Extremadamente deteriorada
36;Ensenada Prefectura Isla Santiago;Ensenada;EN084;21/3/2018;2018;verano;20;7.54;7.74;ausencia;ausencia;ausencia;no se midió;2110;1620;150;9.68;0.05;<0.5;0.5;<10;5;100.5;50;0.01;0.005;15260;5385;35;Muy deteriorada
37;Balneario Palo Blanco;Berisso;BS092;21/3/2018;2018;verano;13;8.67;8.49;ausencia;ausencia;ausencia;presencia;2230;1600;130;9.77;0.05;<0.5;0.5;14;5;172.5;50;0.01;0.005;<50;579;47;Muy deteriorada
38;Diagonal 66 (descarga cloaca);Berisso;BS095;21/3/2018;2018;verano;13;7.45;8.13;presencia;ausencia;ausencia;presencia;1620;1410;70;9.03;0.05;<0.5;0.5;<10;5;78;50;0.01;0.005;<50;50;53;Muy deteriorada
39;Playa La Bagliardi;Berisso;BS091;21/3/2018;2018;verano;11;7.46;8.1;ausencia;ausencia;ausencia;ausencia;1990;1490;150;10.38;0.05;<0.5;0.5;22.3;5;147;50;0.01;0.005;<50;1068;48;Muy deteriorada
40;Balneario Municipal;Berisso;BS094;21/3/2018;2018;verano;12;8.6;8.18;ausencia;ausencia;ausencia;ausencia;1740;1390;90;9.21;0.05;<0.5;0.5;<10;5;142.5;50;0.01;0.005;<50;1804;47;Extremadamente deteriorada
41;Playa La Balandra;Berisso;BS093;21/3/2018;2018;verano;10;8.5;8.11;ausencia;ausencia;ausencia;presencia;1980;1530;140;14.63;0.13;<0.5;0.5;33.5;8;126;600.5;0.01;0.005;<50;126;44;Muy deteriorada
1;Canal Villanueva y Río Luján;Tigre;TI001;16/5/2018;2018;otoño;19.7;6.77;8.09;no se midió;no se midió;no se midió;no se midió;1200;200;<10;2.5;<0.05;0.25;0.25;39;8;71;223;<0.006;<0.002;<0.5;<10;62;Muy deteriorada
